id,name,brand,  price   ,size,abv,type,category,style,country,state,taste,product_info,image_url
34,Clase Azul Reposado Tequila,Clase Azul, $149.99 ,750ml,40.0%,Tequila,,Reposado, Mexico ,Jalisco,"Rich, Cinnamon, Cooked Agave, Caramel, Long","Mexico- An ultra-premium Tequila made of 100% Tequilana Weber Blue Agave. The 8 month aging gives this sipping Tequila an amazing balance, body and flavor. Each bottle is hand-made and hand-painted by artisans in a small village in Mexico, so each one is a unique piece.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hbf/h47/14757924503582.png"
35,Tito's Handmade Vodka,Tito's, $16.99 ,750ml,40.0%,Vodka,,Vodka, United States ,Texas,"Crisp, Clean, Smooth","USA- This gluten-free vodka is distilled using old-fashioned copper pot stills, inspired by the distillation methods of fine single malt scotches and high-end French cognacs. Made in batches with each batch taste-tested, it is goes down smooth and has an impeccably clean finish.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h92/h05/16121952108574.png"
36,Stolichnaya,Stolichnaya, $17.99 ,750ml,40.0%,Vodka,,Vodka, Latvia ,,"Crisp, Toast, Pepper, Smooth",Latvia (a NATO country) - Winter wheat and glacial water is double distilled using quartz and activated charcoal filtration. Herbal and licorice flavors linger with light smoke and a touch of fruit. Best chilled and straight or in tonic.,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h9e/hf7/12343412293662.png"
37,Belvedere,Belvedere, $24.99 ,750ml,40.0%,Vodka,,Vodka, Poland ,,"Creamy, Toast, Smooth","Poland- Named after the Belvedere Palace, formerly home to Polish royalty and presidents. Handcrafted in small batches and distilled four times. Produced from 100% Dankowskie Gold Rye. Incredibly smooth and velvety. Enjoy chilled neat or in clean, simple cocktails.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hc1/h9e/13294973550622.png"
38,Grey Goose,Grey Goose, $23.99 ,750ml,40.0%,Vodka,,Vodka, France ,,"Creamy, Smooth",France- World's best tasting vodka. Single origin soft winter wheat from picardi and natural spring water from Gensac la Pallue. Every step of our process is designed to express the extraordinary character of our wheat. Naturally rich and full bodied taste with a smooth mouthfeel.,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h8c/h4d/12140727697438.png"
39,Chopin Family Reserve Vodka,Chopin, $129.99 ,750ml,40.0%,Vodka,,Vodka, Poland ,,,"Poland- This is the first super premium, Chopin Extra Rare Young Potato Vodka. Estate crafted from farm to bottle in Poland. Rested for two years for ultimate smoothness and naturally gluten-free.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/ha6/h22/11770061783070.png"
40,Smith & Cross Trad'l Jamaican Rum,Smith & Cross, $29.99 ,750ml,57.0%,Rum,,Jamaican Pot Still, Jamaica ,,"Rich, Spice, Complex","Jamaica- Smith & Cross Jamaica Rum is pot-distilled with notes of caramelized banana, exotic fruits and spice with an earthy finish. This is old-school rum, without the now-common chill filtration or added sugar.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h39/h30/8815553576990.png"
41,Captain Morgan Spiced Rum,Captain Morgan, $13.99 ,750ml,35.0%,Rum,,Spiced Rum, US Virgin Islands ,,"Flavored, Spice, Caramel, Balanced","US Virgin Islands- Mixes aromas of marshmallow, light toffee and light spiced honey, leading into a molasses-centric flavor. Ideal for spicing up tropical cocktails or mixed with cola.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h24/h04/14404626972702.png"
42,Malibu Coconut Rum,Malibu, $14.99 ,750ml,21.0%,Rum,,Flavored Rum, Barbados ,,"Flavored, Coconut, Balanced","Barbados- Made in the spirit of traditional Caribbean flavored rums and filled with the fresh, natural taste of coconut, this smooth-drinking rum infuses any drink with a taste of the tropics. Perfect on its own or as a refreshing splash in any rum-based cocktail.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h98/h2b/12140749684766.png"
43,Ten To One Caribbean White Rum,Ten to One, $31.49 ,750ml,45.0%,Rum,,Silver Rum,Jamaica,,"Tropical, Banana, Pineapple","Jamaica-An enticing unaged blend of column still rum from the Dominican Republic, which combines exceptionally well with high ester pot still rum from Jamaica, to yield a beautiful extra-proof expression. Awarded Platinum medal, Best Rum at the L.A Spirits Awards.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h09/h3f/13713379983390.png"
44,Diplomatico Seleccion De Familia Exclusiva Rum,Diplomatico, $49.99 ,700ml,43.0%,Rum,,Aged Rum,Venezuela,,"Rich, Caramel, Banana, Raisin, Complex","Venezuela - ""Rich, dark and intense. Stewed orange flesh, charred peel and fruity jelly are backed up by singed caramel. As it sits in the glass, lighter sweet and floral notes develop rose, honeysuckle and sweet barley sugar as well as darker fruit and soft, sweet spice....""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hce/h4a/15197828972574.png"
